Serial Number:20697596 --

"Date Time, GMT -1000","Temp, (*F)","mV","pH","Button Down","Button Up","Host Connect","Water Detect","Start Calibration","Cancel Calibration","Calibration Values","Calibration Buffers","End Calibration","EOF"
2019-10-24 20:58:55,80.91,-73.16,8.07, , , , , , , , , , 
2019-10-24 21:08:55,80.91,-73.17,8.07, , , , , , , , , , 
2019-10-24 21:18:55,80.82,-73.16,8.07, , , , , , , , , , 
2019-10-24 21:28:55,80.74,-73.16,8.07, , , , , , , , , , 
2019-10-24 21:38:55,80.69,-73.13,8.07, , , , , , , , , , 
2019-10-24 21:48:55,80.82,-73.14,8.07, , , , , , , , , , 
2019-10-24 21:58:55,81.00,-73.16,8.07, , , , , , , , , , 
2019-10-24 22:08:55,81.18,-73.17,8.07, , , , , , , , , , 
2019-10-24 22:18:55,81.18,-73.17,8.07, , , , , , , , , , 
2019-10-24 22:28:55,81.09,-73.14,8.07, , , , , , , , , , 
2019-10-24 22:38:55,80.96,-73.13,8.07, , , , , , , , , , 
2019-10-24 22:48:55,80.87,-73.10,8.07, , , , , , , , , , 
2019-10-24 22:58:55,80.78,-73.06,8.07, , , , , , , , , , 
2019-10-24 23:08:55,80.69,-73.03,8.07, , , , , , , , , , 
2019-10-24 23:18:55,80.78,-73.03,8.07, , , , , , , , , , 
2019-10-24 23:28:55,80.91,-73.05,8.07, , , , , , , , , , 
2019-10-24 23:38:55,81.05,-73.06,8.07, , , , , , , , , , 
2019-10-24 23:48:55,81.22,-73.06,8.07, , , , , , , , , , 
2019-10-24 23:58:55,81.18,-73.05,8.07, , , , , , , , , , 
2019-10-25 00:08:55,81.05,-73.00,8.07, , , , , , , , , , 
2019-10-25 00:18:55,80.91,-72.99,8.07, , , , , , , , , , 
2019-10-25 00:28:55,80.82,-72.96,8.07, , , , , , , , , , 
2019-10-25 00:38:55,80.69,-72.91,8.07, , , , , , , , , , 
2019-10-25 00:48:55,80.78,-72.92,8.07, , , , , , , , , , 
2019-10-25 00:58:55,80.87,-72.91,8.07, , , , , , , , , , 
2019-10-25 01:08:55,81.05,-72.92,8.07, , , , , , , , , , 
2019-10-25 01:18:55,81.18,-72.94,8.07, , , , , , , , , , 
2019-10-25 01:28:55,81.22,-72.94,8.07, , , , , , , , , , 
2019-10-25 01:38:55,81.18,-72.91,8.07, , , , , , , , , , 
2019-10-25 01:48:55,81.00,-72.88,8.06, , , , , , , , , , 
2019-10-25 01:58:55,80.87,-72.85,8.06, , , , , , , , , , 
2019-10-25 02:08:55,80.74,-72.80,8.06, , , , , , , , , , 
2019-10-25 02:18:55,80.74,-72.78,8.06, , , , , , , , , , 
2019-10-25 02:28:55,80.82,-72.78,8.06, , , , , , , , , , 
2019-10-25 02:38:55,80.96,-72.78,8.06, , , , , , , , , , 
2019-10-25 02:48:55,81.00,-72.80,8.06, , , , , , , , , , 
2019-10-25 02:58:55,81.13,-72.81,8.06, , , , , , , , , , 
2019-10-25 03:08:55,81.22,-72.77,8.06, , , , , , , , , , 
2019-10-25 03:18:55,81.18,-72.78,8.06, , , , , , , , , , 
2019-10-25 03:28:55,81.05,-72.74,8.06, , , , , , , , , , 
2019-10-25 03:38:55,80.87,-72.71,8.06, , , , , , , , , , 
2019-10-25 03:48:55,80.74,-72.66,8.06, , , , , , , , , , 
2019-10-25 03:58:55,80.74,-72.64,8.06, , , , , , , , , , 
2019-10-25 04:08:55,80.82,-72.66,8.06, , , , , , , , , , 
2019-10-25 04:18:55,80.91,-72.64,8.06, , , , , , , , , , 
2019-10-25 04:28:55,80.96,-72.66,8.06, , , , , , , , , , 
2019-10-25 04:38:55,81.05,-72.63,8.06, , , , , , , , , , 
2019-10-25 04:48:55,81.13,-72.64,8.06, , , , , , , , , , 
2019-10-25 04:58:55,81.18,-72.63,8.06, , , , , , , , , , 
2019-10-25 05:08:55,81.22,-72.61,8.06, , , , , , , , , , 
2019-10-25 05:18:55,81.05,-72.58,8.06, , , , , , , , , , 
2019-10-25 05:28:55,80.87,-72.53,8.06, , , , , , , , , , 
2019-10-25 05:38:55,80.74,-72.50,8.06, , , , , , , , , , 
2019-10-25 05:48:55,80.74,-72.50,8.06, , , , , , , , , , 
2019-10-25 05:58:55,80.82,-72.50,8.06, , , , , , , , , , 
2019-10-25 06:08:55,80.91,-72.49,8.06, , , , , , , , , , 
2019-10-25 06:18:55,80.96,-72.50,8.06, , , , , , , , , , 
2019-10-25 06:28:55,81.09,-72.49,8.06, , , , , , , , , , 
2019-10-25 06:38:55,81.18,-72.50,8.06, , , , , , , , , , 
2019-10-25 06:48:55,81.22,-72.50,8.06, , , , , , , , , , 
2019-10-25 06:58:55,81.09,-72.49,8.06, , , , , , , , , , 
2019-10-25 07:08:55,81.00,-72.44,8.06, , , , , , , , , , 
2019-10-25 07:18:55,80.91,-72.42,8.06, , , , , , , , , , 
2019-10-25 07:28:55,80.82,-72.39,8.06, , , , , , , , , , 
2019-10-25 07:38:55,80.78,-72.39,8.06, , , , , , , , , , 
2019-10-25 07:48:55,80.74,-72.39,8.06, , , , , , , , , , 
2019-10-25 07:58:55,80.69,-72.38,8.06, , , , , , , , , , 
2019-10-25 08:08:55,80.69,-72.38,8.06, , , , , , , , , , 
2019-10-25 08:18:55,80.69,-72.38,8.06, , , , , , , , , , 
2019-10-25 08:28:55,80.69,-72.39,8.06, , , , , , , , , , 
2019-10-25 08:38:55,80.74,-72.38,8.06, , , , , , , , , , 
2019-10-25 08:48:55,80.74,-72.41,8.06, , , , , , , , , , 
2019-10-25 08:58:55,80.74,-72.38,8.06, , , , , , , , , , 
2019-10-25 09:08:55,80.69,-72.38,8.06, , , , , , , , , , 
2019-10-25 09:18:55,80.69,-72.38,8.06, , , , , , , , , , 
2019-10-25 09:28:55,80.69,-72.36,8.06, , , , , , , , , , 
2019-10-25 09:38:55,80.69,-72.38,8.06, , , , , , , , , , 
2019-10-25 09:48:55,80.69,-72.36,8.06, , , , , , , , , , 
2019-10-25 09:58:55,80.69,-72.36,8.06, , , , , , , , , , 
2019-10-25 10:08:55,80.69,-72.36,8.06, , , , , , , , , , 
2019-10-25 10:18:55,80.69,-72.35,8.06, , , , , , , , , , 
2019-10-25 10:28:55,80.74,-72.36,8.06, , , , , , , , , , 
2019-10-25 10:38:55,80.74,-72.35,8.06, , , , , , , , , , 
2019-10-25 10:48:55,80.78,-72.36,8.06, , , , , , , , , , 
2019-10-25 10:58:55,80.82,-72.36,8.06, , , , , , , , , , 
2019-10-25 11:08:55,80.82,-72.36,8.06, , , , , , , , , , 
2019-10-25 11:18:55,80.87,-72.36,8.06, , , , , , , , , , 
2019-10-25 11:28:55,80.87,-72.35,8.06, , , , , , , , , , 
2019-10-25 11:38:55,80.87,-72.35,8.06, , , , , , , , , , 
2019-10-25 11:48:55,80.91,-72.33,8.06, , , , , , , , , , 
2019-10-25 11:58:55,80.91,-72.35,8.06, , , , , , , , , , 
2019-10-25 12:08:55,80.91,-72.35,8.06, , , , , , , , , , 
2019-10-25 12:18:55,80.91,-72.33,8.06, , , , , , , , , , 
2019-10-25 12:28:55,80.91,-72.33,8.06, , , , , , , , , , 
2019-10-25 12:38:55,80.96,-72.33,8.06, , , , , , , , , , 
2019-10-25 12:48:55,81.00,-72.33,8.06, , , , , , , , , , 
2019-10-25 12:58:55,81.05,-72.31,8.06, , , , , , , , , , 
2019-10-25 13:08:55,81.09,-72.33,8.06, , , , , , , , , , 
2019-10-25 13:18:55,81.18,-72.33,8.06, , , , , , , , , , 
2019-10-25 13:28:55,81.22,-72.33,8.06, , , , , , , , , , 
2019-10-25 13:38:55,81.31,-72.33,8.06, , , , , , , , , , 
2019-10-25 13:48:55,81.40,-72.33,8.06, , , , , , , , , , 
2019-10-25 13:58:55,81.49,-72.36,8.06, , , , , , , , , , 
2019-10-25 14:08:55,81.44,-72.31,8.05, , , , , , , , , , 
2019-10-25 14:18:55,81.49,-72.31,8.05, , , , , , , , , , 
2019-10-25 14:28:55,81.49,-72.30,8.05, , , , , , , , , , 
2019-10-25 14:38:55,81.44,-72.28,8.05, , , , , , , , , , 
2019-10-25 14:48:55,81.44,-72.30,8.05, , , , , , , , , , 
2019-10-25 14:58:55,81.44,-72.28,8.05, , , , , , , , , , 
2019-10-25 15:08:55,81.44,-72.27,8.05, , , , , , , , , , 
2019-10-25 15:18:55,81.40,-72.28,8.05, , , , , , , , , , 
2019-10-25 15:28:55,81.49,-72.27,8.05, , , , , , , , , , 
2019-10-25 15:38:55,81.49,-72.27,8.05, , , , , , , , , , 
2019-10-25 15:48:55,81.44,-72.25,8.05, , , , , , , , , , 
2019-10-25 15:58:55,81.44,-72.25,8.05, , , , , , , , , , 
2019-10-25 16:08:55,81.40,-72.27,8.05, , , , , , , , , , 
2019-10-25 16:18:55,81.44,-72.24,8.05, , , , , , , , , , 
2019-10-25 16:28:55,81.44,-72.25,8.05, , , , , , , , , , 
2019-10-25 16:38:55,81.44,-72.24,8.05, , , , , , , , , , 
2019-10-25 16:48:55,81.44,-72.24,8.05, , , , , , , , , , 
2019-10-25 16:58:55,81.44,-72.22,8.05, , , , , , , , , , 
2019-10-25 17:08:55,81.40,-72.22,8.05, , , , , , , , , , 
2019-10-25 17:18:55,81.40,-72.21,8.05, , , , , , , , , , 
2019-10-25 17:28:55,81.36,-72.21,8.05, , , , , , , , , , 
2019-10-25 17:38:55,81.36,-72.19,8.05, , , , , , , , , , 
2019-10-25 17:48:55,81.31,-72.17,8.05, , , , , , , , , , 
2019-10-25 17:58:55,81.31,-72.17,8.05, , , , , , , , , , 
2019-10-25 18:08:55,81.27,-72.16,8.05, , , , , , , , , , 
2019-10-25 18:18:55,81.22,-72.14,8.05, , , , , , , , , , 
2019-10-25 18:28:55,81.18,-72.14,8.05, , , , , , , , , , 
2019-10-25 18:38:55,81.13,-72.14,8.05, , , , , , , , , , 
2019-10-25 18:48:55,81.09,-72.16,8.05, , , , , , , , , , 
2019-10-25 18:58:55,81.05,-72.13,8.05, , , , , , , , , , 
2019-10-25 19:08:55,81.00,-72.14,8.05, , , , , , , , , , 
2019-10-25 19:18:55,80.96,-72.11,8.05, , , , , , , , , , 
2019-10-25 19:28:55,80.87,-72.10,8.05, , , , , , , , , , 
2019-10-25 19:38:55,80.82,-72.08,8.05, , , , , , , , , , 
2019-10-25 19:48:55,80.78,-72.08,8.05, , , , , , , , , , 
2019-10-25 19:58:55,80.69,-72.08,8.05, , , , , , , , , , 
2019-10-25 20:08:55,80.74,-72.08,8.05, , , , , , , , , , 
2019-10-25 20:18:55,80.91,-72.10,8.05, , , , , , , , , , 
2019-10-25 20:28:55,81.09,-72.10,8.05, , , , , , , , , , 
2019-10-25 20:38:55,81.22,-72.11,8.05, , , , , , , , , , 
2019-10-25 20:48:55,81.18,-72.10,8.05, , , , , , , , , , 
2019-10-25 20:58:55,81.09,-72.06,8.05, , , , , , , , , , 
2019-10-25 21:08:55,81.05,-72.03,8.05, , , , , , , , , , 
2019-10-25 21:18:55,80.91,-72.02,8.05, , , , , , , , , , 
2019-10-25 21:28:55,80.87,-72.00,8.05, , , , , , , , , , 
2019-10-25 21:38:55,80.78,-71.99,8.05, , , , , , , , , , 
2019-10-25 21:48:55,80.69,-71.97,8.05, , , , , , , , , , 
2019-10-25 21:58:55,80.82,-71.97,8.05, , , , , , , , , , 
2019-10-25 22:08:55,80.91,-71.97,8.05, , , , , , , , , , 
2019-10-25 22:18:55,81.09,-72.00,8.05, , , , , , , , , , 
2019-10-25 22:28:55,81.22,-72.00,8.05, , , , , , , , , , 
2019-10-25 22:38:55,81.13,-71.97,8.05, , , , , , , , , , 
2019-10-25 22:48:55,81.00,-71.94,8.05, , , , , , , , , , 
2019-10-25 22:58:55,80.91,-71.91,8.05, , , , , , , , , , 
2019-10-25 23:08:55,80.78,-71.89,8.05, , , , , , , , , , 
2019-10-25 23:18:55,80.69,-71.88,8.05, , , , , , , , , , 
2019-10-25 23:28:55,80.78,-71.91,8.05, , , , , , , , , , 
2019-10-25 23:38:55,80.96,-71.89,8.05, , , , , , , , , , 
2019-10-25 23:48:55,81.05,-71.91,8.05, , , , , , , , , , 
2019-10-25 23:58:55,81.22,-71.91,8.05, , , , , , , , , , 
2019-10-26 00:08:55,81.13,-71.89,8.05, , , , , , , , , , 
2019-10-26 00:18:55,81.05,-71.86,8.05, , , , , , , , , , 
2019-10-26 00:28:55,80.91,-71.85,8.05, , , , , , , , , , 
2019-10-26 00:38:55,80.78,-71.81,8.05, , , , , , , , , , 
2019-10-26 00:48:55,80.74,-71.80,8.05, , , , , , , , , , 
2019-10-26 00:58:55,80.82,-71.81,8.05, , , , , , , , , , 
2019-10-26 01:08:55,80.91,-71.80,8.05, , , , , , , , , , 
2019-10-26 01:18:55,81.00,-71.80,8.05, , , , , , , , , , 
2019-10-26 01:28:55,81.18,-71.78,8.05, , , , , , , , , , 
2019-10-26 01:38:55,81.13,-71.78,8.05, , , , , , , , , , 
2019-10-26 01:48:55,81.05,-71.78,8.05, , , , , , , , , , 
2019-10-26 01:58:55,80.91,-71.72,8.05, , , , , , , , , , 
2019-10-26 02:08:55,80.78,-71.69,8.05, , , , , , , , , , 
2019-10-26 02:18:55,80.74,-71.71,8.05, , , , , , , , , , 
2019-10-26 02:28:55,80.82,-71.69,8.05, , , , , , , , , , 
2019-10-26 02:38:55,80.91,-71.69,8.05, , , , , , , , , , 
2019-10-26 02:48:55,81.05,-71.69,8.04, , , , , , , , , , 
2019-10-26 02:58:55,81.09,-71.69,8.04, , , , , , , , , , 
2019-10-26 03:08:55,81.22,-71.69,8.04, , , , , , , , , , 
2019-10-26 03:18:55,81.13,-71.67,8.04, , , , , , , , , , 
2019-10-26 03:28:55,81.00,-71.63,8.04, , , , , , , , , , 
2019-10-26 03:38:55,80.87,-71.60,8.04, , , , , , , , , , 
2019-10-26 03:48:55,80.74,-71.58,8.04, , , , , , , , , , 
2019-10-26 03:58:55,80.74,-71.60,8.04, , , , , , , , , , 
2019-10-26 04:08:55,80.82,-71.60,8.04, , , , , , , , , , 
2019-10-26 04:18:55,80.96,-71.60,8.04, , , , , , , , , , 
2019-10-26 04:28:55,81.05,-71.60,8.04, , , , , , , , , , 
2019-10-26 04:38:55,81.18,-71.61,8.04, , , , , , , , , , 
2019-10-26 04:48:55,81.18,-71.58,8.04, , , , , , , , , , 
2019-10-26 04:58:55,81.05,-71.55,8.04, , , , , , , , , , 
2019-10-26 05:08:55,80.91,-71.52,8.04, , , , , , , , , , 
2019-10-26 05:18:55,80.74,-71.49,8.04, , , , , , , , , , 
2019-10-26 05:28:55,80.74,-71.47,8.04, , , , , , , , , , 
2019-10-26 05:38:55,80.82,-71.50,8.04, , , , , , , , , , 
2019-10-26 05:48:55,80.91,-71.50,8.04, , , , , , , , , , 
2019-10-26 05:58:55,81.00,-71.49,8.04, , , , , , , , , , 
2019-10-26 06:08:55,81.13,-71.49,8.04, , , , , , , , , , 
2019-10-26 06:18:55,81.22,-71.50,8.04, , , , , , , , , , 
2019-10-26 06:28:55,81.13,-71.49,8.04, , , , , , , , , , 
2019-10-26 06:38:55,81.00,-71.46,8.04, , , , , , , , , , 
2019-10-26 06:48:55,80.91,-71.42,8.04, , , , , , , , , , 
2019-10-26 06:58:55,80.82,-71.42,8.04, , , , , , , , , , 
2019-10-26 07:08:55,80.74,-71.41,8.04, , , , , , , , , , 
2019-10-26 07:18:55,80.74,-71.41,8.04, , , , , , , , , , 
2019-10-26 07:28:55,80.91,-71.42,8.04, , , , , , , , , , 
2019-10-26 07:38:55,81.13,-71.47,8.04, , , , , , , , , , 
2019-10-26 07:48:55,81.18,-71.46,8.04, , , , , , , , , , 
2019-10-26 07:58:55,81.18,-71.44,8.04, , , , , , , , , , 
2019-10-26 08:08:55,81.13,-71.44,8.04, , , , , , , , , , 
2019-10-26 08:18:55,81.13,-71.42,8.04, , , , , , , , , , 
2019-10-26 08:28:55,81.13,-71.41,8.04, , , , , , , , , , 
2019-10-26 08:38:55,81.13,-71.41,8.04, , , , , , , , , , 
2019-10-26 08:48:55,81.13,-71.41,8.04, , , , , , , , , , 
2019-10-26 08:58:55,81.18,-71.39,8.04, , , , , , , , , , 
2019-10-26 09:08:55,81.18,-71.39,8.04, , , , , , , , , , 
2019-10-26 09:18:55,81.18,-71.39,8.04, , , , , , , , , , 
