colony_id,homog_vol_ml,note,date_airbrushed
test_1,34,,20200105
ACR-244,32,,20200105
ACR-256,25,,20200105
POR-235,70,,20200105
POC-248,32,,20200105
POC-255,38,,20200105
POR-236,18,bag broke and leaked - sample may not be representative,20200105
POC-201,38,small amount leaked from bag,20200105
ACR-228,32,,20200105
POC-254,81,bag broke and leaked - sample may not be representative,20200105
POC-239,50,,20200105
POR-214,27,,20200105
ACR-247,27,,20200105
POC-219,34,,20200105
POR-221,34,,20200105
POR-262,67,,20200105
POR-242,143.5,,20200105
ACR-243,37.5,,20200105
ACR-267,NA,"bag spilled, sample discarded",20200105
POC-238,30,,20200105
POR-266,34,,20200105
POR-245,25,,20200105
ACR-229,32,,20200105
POC-217,33,,20200105
ACR-258,33,,20200105
POC-259,43,,20200105
ACR-234,32,,20200105
POR-209,34,,20200105
POC-200,32,,20200107
POR-260,45,,20200107
ACR-237,23,,20200107
POC-207,27,,20200107
POC-222,44,,20200107
POR-224,34,,20200107
POR-253,157.5,,20200107
POR-362,47,,20200107
POC-395,35,,20200107
POC-377,40,,20200107
ACR-246,17,,20200107
POR-353,86,,20200107
ACR-393,44,,20200107
ACR-350,17,,20200107
ACR-231,49,,20200107
POC-371,37,,20200107
ACR-265,25,,20200107
POC-205,50,,20200107
POR-216,32,,20200107
POR-251,47,,20200107
ACR-389,40,,20200107
POR-355,68,,20200107
POR-240,50,,20200107
ACR-343,40,,20200108
POR-357,40,,20200108
POC-358,27,,20200108
POC-373,27,,20200108
ACR-345,17,,20200108
POR-341,43,,20200108
ACR-363,24,,20200108
POR-384,48,,20200108
ACR-364,17,,20200108
POC-369,30,,20200108
POR-383,43,,20200108
POC-378,40,,20200108
ACR-379,25,,20200108
POR-340,52,,20200108
POC-394,17,,20200108
ACR-368,28,,20200108
POR-381,27,,20200108
POC-391,25,,20200108
POR-385,35,,20200108
POC-346,25,,20200108
POR-354,37,,20200108
ACR-396,24,,20200108
POC-372,22,,20200108
ACR-390,22,,20200108
POC-366,47,,20200108
POC-359,22,,20200109
POR-365,29,,20200109
POR-338,61,,20200109
POR-349,50,,20200109
ACR-351,20,,20200109
POR-367,62,,20200109
ACR-225,30,Not frozen - was found in side of dry shipper on 20200109,20200109
POC-386,40,,20200109
POC-375,30,,20200109
ACR-374,20,,20200109
ACR-180,25,,20200110
POR-78,47,,20200110
ACR-51,19,,20200110
POR-80,48,,20200110
POC-40,26,,20200110
POR-75,30,,20200110
ACR-150,22,,20200110
POC-56,24,,20200110
POC-42,38,,20200110
POR-76,27,,20200110
POC-44,27,,20200110
POC-48,28,,20200110
POR-69,45,,20200110
POC-47,38,,20200110
ACR-193,24,,20200110
POR-70,38,,20200110
ACR-176,38,,20200110
ACR-187,25,,20200111
POC-43,35,,20200111
POR-71,35,,20200111
POC-52,37,,20200111
POR-81,43,,20200111
POC-41,39,,20200111
ACR-139,26,,20200111
POR-79,50,,20200111
ACR-140,20,,20200111
ACR-165,17,,20200111
POC-57,30,,20200111
POC-53,24,,20200111
POR-82,34,,20200111
ACR-145,9,,20200111
ACR-185,20,,20200111
POC-55,45,,20200111
POR-74,27,,20200111
POR-73,27,,20200111
POC-45,15,,20200111
POC-68,27,,20200111
POR-83,42,,20200111
POC-50,42,,20200111
ACR-186,17,,20200111
POR-72,50,,20200111
POR-77,37,,20200111
ACR-173,30,,20200111
ACR-190,20,,20200111
ACR-175,25,,20200111
